player_type,player_key,playerid,mlbamid,name,team,projected_starts,opponents,skill_score,matchup_score,weekly_projection_index,projection_rank,zips_name,zips_team,zips_w,zips_l,zips_qs,zips_era,zips_g,zips_gs,zips_sv,zips_hld,zips_bs,zips_ip,zips_tbf,zips_h,zips_r,zips_er,zips_hr,zips_bb,zips_ibb,zips_hbp,zips_so,zips_k_9,zips_bb_9,zips_k_bb,zips_hr_9,zips_k_pct,zips_bb_pct,zips_k_bb_pct,zips_avg,zips_whip,zips_babip,zips_lob_pct,zips_gb_pct,zips_hr_fb,zips_fip,zips_war,zips_ra9_war,zips_adp,zips_intersd,zips_intersk,zips_intrasd,zips_vol,zips_skew,zips_dim,zips_fpts,zips_fpts_ip,zips_spts,zips_spts_ip,zips_p10,zips_p20,zips_p30,zips_p40,zips_p50,zips_p60,zips_p70,zips_p80,zips_p90,zips_tt10,zips_tt20,zips_tt30,zips_tt40,zips_tt50,zips_tt60,zips_tt70,zips_tt80,zips_tt90,zips_nameascii,zips_playerid,ytd_name,ytd_team,ytd_w,ytd_l,ytd_era,ytd_g,ytd_gs,ytd_qs,ytd_cg,ytd_sho,ytd_sv,ytd_hld,ytd_bs,ytd_ip,ytd_tbf,ytd_h,ytd_r,ytd_er,ytd_hr,ytd_bb,ytd_ibb,ytd_hbp,ytd_wp,ytd_bk,ytd_so,ytd_nameascii,ytd_playerid,recent_week_start,recent_batters_faced,recent_hits_allowed,recent_hr_allowed,recent_walks,recent_strikeouts,recent_bbe,recent_hardhit_allowed,recent_xwoba_allowed,recent_woba_allowed,recent_bb_rate,recent_k_rate,recent_hardhit_rate_allowed,recent_hr_rate_allowed,recent_pa_vs_lhb,recent_woba_allowed_vs_lhb,recent_k_rate_vs_lhb,recent_pa_vs_rhb,recent_woba_allowed_vs_rhb,recent_k_rate_vs_rhb,recent_woba_allowed_prev_1w,recent_woba_allowed_prev_2w,recent_woba_allowed_prev_4w,recent_xwoba_allowed_prev_1w,recent_xwoba_allowed_prev_2w,recent_xwoba_allowed_prev_4w,recent_bb_rate_prev_1w,recent_bb_rate_prev_2w,recent_bb_rate_prev_4w,recent_k_rate_prev_1w,recent_k_rate_prev_2w,recent_k_rate_prev_4w,recent_hardhit_rate_allowed_prev_1w,recent_hardhit_rate_allowed_prev_2w,recent_hardhit_rate_allowed_prev_4w,recent_hr_rate_allowed_prev_1w,recent_hr_rate_allowed_prev_2w,recent_hr_rate_allowed_prev_4w,recent_woba_allowed_vs_lhb_prev_1w,recent_woba_allowed_vs_lhb_prev_2w,recent_woba_allowed_vs_lhb_prev_4w,recent_woba_allowed_vs_rhb_prev_1w,recent_woba_allowed_vs_rhb_prev_2w,recent_woba_allowed_vs_rhb_prev_4w,recent_k_rate_vs_lhb_prev_1w,recent_k_rate_vs_lhb_prev_2w,recent_k_rate_vs_lhb_prev_4w,recent_k_rate_vs_rhb_prev_1w,recent_k_rate_vs_rhb_prev_2w,recent_k_rate_vs_rhb_prev_4w,ip,k,er,hits_allowed,bb_allowed,baserunners,w,sv,hld,era,whip,projection_stat_source
pitcher,27926,27926,689441,Coleman Crow,MIL,2,SFG,51.4,73.5,113.8,1,Coleman Crow,MIL,3.0,3.0,,4.12868,13.0,12.0,,,,61.0,256.0,58.0,30.0,28.0,8.0,18.0,,4.0,51.0,7.6289,2.62012,2.91166,1.12026,0.200767,0.0689526,0.1318139731884002,0.249482,1.25489,0.290317,0.699832,,,4.13504,0.913852,0.80265,999.0,,,,,,,238.2000000000001,3.904918032786887,237.0,3.885245901639344,,,,,,,,,,,,,,,,,,,Coleman Crow,27926,Coleman Crow,MIL,0.0,0.0,3.375000201165688,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1,21.0,4.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,Coleman Crow,27926,2026-05-25,18.0,4.0,1.0,2.0,1.0,13.0,6,0.4850998888888889,0.4277777777777778,0.1111111111111111,0.05555555555555555,0.46153846153846156,0.05555555555555555,8.0,0.2875,0.125,10.0,0.54,0.0,0.215,0.23488095238095236,0.23488095238095236,0.2388087894736842,0.2861877042606516,0.2861877042606516,0.0,0.023809523809523808,0.023809523809523808,0.15,0.17023809523809524,0.17023809523809524,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.17777777777777778,0.2451388888888889,0.2451388888888889,0.24545454545454548,0.21161616161616165,0.21161616161616165,0.2222222222222222,0.15277777777777776,0.15277777777777776,0.09090909090909091,0.2121212121212121,0.2121212121212121,10.376,7.993,4.307,8.981,2.936,11.917,0.368,0.0,0.0,3.736,1.148,hybrid_zips_ytd_recent_matchup
pitcher,32095,32095,693645,Cam Schlittler,NYY,1,BOS,89.2,80.8,87.1,2,Cam Schlittler,NYY,9.0,6.0,,3.63695,22.0,21.0,,,,108.0,451.0,94.0,47.0,44.0,11.0,35.0,,4.0,114.0,9.51174,2.93059,3.24568,0.932921,0.253314,0.0780467,0.1752674207091331,0.229083,1.19827,0.290316,0.72072,,,3.45738,2.35856,1.92102,116.62999725341795,,,,,,,530.5000000000001,4.912037037037038,508.0,4.703703703703703,,,,,,,,,,,,,,,,,,,Cam Schlittler,32095,Cam Schlittler,NYY,5.0,1.0,1.5211268014270298,8.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,47.1,181.0,32.0,10.0,8.0,1.0,9.0,0.0,0.0,0.0,0.0,53.0,Cam Schlittler,32095,2026-06-01,20.0,5.0,1.0,0.0,3.0,14.0,8,0.33196835,0.43,0.0,0.15,0.5714285714285714,0.05,20.0,0.43,0.15,,,,0.22954545454545452,0.2842171717171717,0.24722633948177425,0.22363636363636363,0.2460066048951049,0.2637595153098713,0.0,0.037037037037037035,0.055656199677938806,0.2727272727272727,0.265993265993266,0.2810944590835895,0.375,0.3345588235294118,0.3963003907856849,0.045454545454545456,0.022727272727272728,0.021780303030303032,0.2,0.315,0.2717857142857143,0.25,0.23750000000000004,0.22278846153846155,0.2222222222222222,0.24444444444444444,0.3256854256854257,0.3076923076923077,0.27884615384615385,0.20288461538461539,5.504,5.949,1.675,4.398,1.251,5.649,0.521,0.0,0.0,2.739,1.026,hybrid_zips_ytd_recent_matchup
pitcher,19755,19755,660271,Shohei Ohtani,LAD,1,ARI,89.2,76.7,86.1,3,Shohei Ohtani,LAD,5.0,2.0,,3.29888,14.0,14.0,,,,71.0,288.0,52.0,28.0,26.0,8.0,25.0,,5.0,85.0,10.8262,3.18689,3.39709,1.05715,0.296117,0.0871676,0.208949014544487,0.201142,1.08445,0.265246,0.745687,,,3.55011,1.56512,1.69703,1.2699999809265137,,,,,,,371.8,5.23661971830986,331.0,4.661971830985915,,,,,,,,,,,,,,,,,,,Shohei Ohtani,19755,Shohei Ohtani,LAD,2.0,2.0,0.972972972972973,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,37.0,145.0,21.0,6.0,4.0,2.0,9.0,0.0,3.0,0.0,0.0,42.0,Shohei Ohtani,19755,2026-05-25,23.0,0.0,0.0,4.0,7.0,11.0,4,0.236781,0.15217391304347827,0.17391304347826086,0.30434782608695654,0.36363636363636365,0.0,15.0,0.13999999999999999,0.4,8.0,0.175,0.125,0.2157894736842105,0.2040485829959514,0.2372094766831609,0.2885156842105263,0.286715495951417,0.2695638152834008,0.10526315789473684,0.09109311740890688,0.07332433648223122,0.21052631578947367,0.2591093117408907,0.2898110661268556,0.3076923076923077,0.40384615384615385,0.45069758672699844,0.0,0.0,0.019230769230769232,0.45,0.30833333333333324,0.3047916666666667,0.15333333333333332,0.1903030303030303,0.23369318181818183,0.5,0.3833333333333333,0.36875,0.13333333333333333,0.24848484848484842,0.27702020202020206,5.52,6.987,1.442,3.038,2.001,5.039,0.371,0.0,0.0,2.35,0.913,hybrid_zips_ytd_recent_matchup
pitcher,10954,10954,594798,Jacob deGrom,TEX,1,CLE,91.7,65.8,85.2,4,Jacob deGrom,TEX,8.0,6.0,,3.53403,21.0,21.0,,,,116.0,470.0,96.0,50.0,46.0,17.0,28.0,,1.0,128.0,9.92875,2.14224,4.63474,1.27867,0.272974,0.0588973,0.2140764556825161,0.218666,1.06715,0.269806,0.737503,,,3.52478,2.40829,2.11348,50.0099983215332,,,,,,,568.7,4.902586206896552,528.0,4.551724137931035,,,,,,,,,,,,,,,,,,,Jacob deGrom,10954,Jacob deGrom,TEX,2.0,2.0,3.10619489998572,7.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,37.2,150.0,30.0,13.0,13.0,6.0,8.0,1.0,0.0,2.0,0.0,47.0,Jacob deGrom,10954,2026-06-01,21.0,4.0,0.0,1.0,8.0,12.0,8,0.2638047142857143,0.2642857142857143,0.047619047619047616,0.38095238095238093,0.6666666666666666,0.0,14.0,0.3321428571428572,0.2857142857142857,7.0,0.1285714285714286,0.5714285714285714,0.25,0.3944444444444445,0.3574417448138676,0.310517347826087,0.46333359057971013,0.37830121067774936,0.043478260869565216,0.10507246376811594,0.05743819266837169,0.2608695652173913,0.213768115942029,0.23369565217391303,0.5333333333333333,0.475,0.511024720893142,0.043478260869565216,0.07729468599033815,0.09192952543336175,0.63125,0.615625,0.49962284482758623,0.04666666666666666,0.2774999999999999,0.2795075757575758,0.25,0.20833333333333331,0.2216235632183908,0.26666666666666666,0.21666666666666665,0.23787878787878786,5.533,7.01,2.036,4.391,1.227,5.618,0.365,0.0,0.0,3.313,1.015,hybrid_zips_ytd_recent_matchup
pitcher,31986,31986,800048,Parker Messick,CLE,1,TEX,80.1,96.7,84.2,5,Parker Messick,CLE,6.0,5.0,,3.87902,21.0,20.0,,,,101.0,425.0,95.0,47.0,43.0,13.0,32.0,,6.0,99.0,8.88028,2.85784,3.10734,1.17866,0.233283,0.0750746,0.1582080721855163,0.243882,1.25762,0.295623,0.73458,,,3.98908,1.48222,1.46514,294.17999267578125,,,,,,,424.5000000000001,4.2029702970297045,420.0,4.158415841584159,,,,,,,,,,,,,,,,,,,Parker Messick,31986,Parker Messick,CLE,3.0,1.0,2.3951613640065768,7.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,41.1,156.0,28.0,11.0,11.0,4.0,10.0,0.0,1.0,1.0,0.0,44.0,Parker Messick,31986,2026-05-25,22.0,5.0,0.0,2.0,4.0,15.0,8,0.30685233333333334,0.30227272727272725,0.09090909090909091,0.18181818181818182,0.5333333333333333,0.0,6.0,0.35833333333333334,0.5,16.0,0.28125,0.0625,0.30606060606060603,0.29303030303030303,0.30114208949964766,0.30612599999999995,0.29924418750000004,0.2934505358527132,0.12121212121212122,0.1206060606060606,0.08234760394644117,0.2727272727272727,0.2763636363636363,0.29830778717406625,0.45,0.475,0.39495192307692306,0.030303030303030304,0.035151515151515156,0.035017618040873846,0.4071428571428572,0.4071428571428572,0.21626984126984128,0.2588888888888889,0.2694444444444445,0.3020609318996416,0.14285714285714285,0.14285714285714285,0.3253968253968254,0.3333333333333333,0.30666666666666664,0.31022482893450637,5.503,5.912,1.848,4.388,1.541,5.929,0.374,0.0,0.0,3.022,1.077,hybrid_zips_ytd_recent_matchup
pitcher,33703,33703,690997,Nolan McLean,NYM,1,SDP,88.0,68.7,83.2,6,Nolan McLean,NYM,8.0,6.0,,3.73092,22.0,21.0,,,,116.0,490.0,101.0,52.0,48.0,12.0,43.0,,9.0,122.0,9.44991,3.35827,2.81392,0.915892,0.249173,0.08855,0.1606226041913032,0.230476,1.2399,0.293216,0.719233,,,3.71764,1.92182,1.91896,87.29000091552734,,,,,,,536.2,4.622413793103449,512.0,4.413793103448276,,,,,,,,,,,,,,,,,,,Nolan McLean,33703,Nolan McLean,NYM,1.0,2.0,2.9745763673483756,7.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,39.1,153.0,26.0,15.0,13.0,2.0,11.0,0.0,1.0,1.0,0.0,51.0,Nolan McLean,33703,2026-05-25,42.0,7.0,2.0,7.0,8.0,24.0,8,0.38755700000000004,0.3857142857142857,0.16666666666666666,0.19047619047619047,0.3333333333333333,0.047619047619047616,19.0,0.431578947368421,0.2631578947368421,23.0,0.34782608695652173,0.13043478260869565,0.4629032258064516,0.4037730414746543,0.3496769247777312,0.3239048709677419,0.36131072119815666,0.30803324317483594,0.06451612903225806,0.0858294930875576,0.06816727179630405,0.16129032258064516,0.20564516129032256,0.2543377321603128,0.42857142857142855,0.4495798319327732,0.4585561497326203,0.06451612903225806,0.05011520737327189,0.03642124005027231,0.4803571428571428,0.45728383458646615,0.3357847744360902,0.3,0.22777777777777783,0.29112103174603177,0.17857142857142858,0.22086466165413532,0.24436090225563908,0.0,0.1111111111111111,0.20734126984126983,5.629,6.353,2.088,4.307,2.162,6.469,0.322,0.0,0.0,3.338,1.149,hybrid_zips_ytd_recent_matchup
pitcher,30182,30182,701542,Will Warren,NYY,1,BOS,82.3,80.8,81.9,7,Will Warren,NYY,6.0,6.0,,4.24405,22.0,21.0,,,,110.0,468.0,102.0,57.0,52.0,14.0,37.0,,5.0,113.0,9.24888,3.04657,3.03583,1.14122,0.242613,0.0799165,0.1626964062452316,0.239551,1.26233,0.294971,0.69115,,,3.86618,1.75135,0.993379,285.04998779296875,,,,,,,476.6,4.332727272727272,468.0,4.254545454545455,,,,,,,,,,,,,,,,,,,Will Warren,30182,Will Warren,NYY,4.0,0.0,2.389380692296708,7.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,37.2,152.0,32.0,15.0,10.0,4.0,8.0,0.0,1.0,1.0,1.0,46.0,Will Warren,30182,2026-05-25,51.0,9.0,1.0,6.0,8.0,36.0,14,0.3194194901960784,0.30098039215686273,0.11764705882352941,0.1568627450980392,0.3888888888888889,0.0196078431372549,33.0,0.296969696969697,0.06060606060606061,18.0,0.30833333333333335,0.3333333333333333,0.2863636363636364,0.31089015151515154,0.32878993741765483,0.26044061904761906,0.2081765386904762,0.2633371868353567,0.045454545454545456,0.04356060606060605,0.06674077733860342,0.13636363636363635,0.19318181818181823,0.2739624505928854,0.35294117647058826,0.2647058823529412,0.4103249691484986,0.0,0.0,0.03359683794466403,0.4090909090909091,0.3431818181818182,0.3688986013986014,0.16363636363636364,0.27412587412587414,0.30518793706293706,0.0,0.045454545454545456,0.14388111888111887,0.2727272727272727,0.32867132867132864,0.38933566433566436,5.396,5.936,2.032,4.476,1.674,6.15,0.397,0.0,0.0,3.39,1.14,hybrid_zips_ytd_recent_matchup
pitcher,20778,20778,650911,Cristopher Sánchez,PHI,1,SDP,87.0,61.7,80.7,8,Cristopher Sánchez,PHI,9.0,4.0,,3.1826,23.0,23.0,,,,144.0,593.0,129.0,55.0,51.0,12.0,35.0,,5.0,146.0,9.13828,2.18103,4.1899,0.75994,0.246928,0.0589342,0.1879940256476402,0.233884,1.14008,0.296977,0.739536,,,3.02283,3.71991,3.79868,24.75,,,,,,,754.6000000000003,5.24027777777778,736.0,5.111111111111111,,,,,,,,,,,,,,,,,,,Cristopher Sanchez,20778,Cristopher Sánchez,PHI,3.0,2.0,2.420689718856541,8.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,48.1,209.0,51.0,18.0,13.0,3.0,14.0,0.0,1.0,0.0,0.0,60.0,Cristopher Sanchez,20778,2026-05-25,27.0,6.0,0.0,0.0,9.0,18.0,8,0.2842962962962963,0.22592592592592592,0.0,0.3333333333333333,0.4444444444444444,0.0,6.0,0.35833333333333334,0.3333333333333333,21.0,0.1880952380952381,0.3333333333333333,0.17857142857142858,0.18459821428571427,0.1948619378306878,0.3194927857142857,0.28701201785714286,0.2665618198713324,0.07142857142857142,0.03571428571428571,0.050099206349206345,0.21428571428571427,0.3102678571428571,0.2958416005291005,0.55,0.5644736842105262,0.5056845545235639,0.0,0.0,0.0,0.0,0.0,0.03749999999999997,0.2631578947368421,0.25866228070175445,0.2631063928761297,0.3333333333333333,0.4791666666666665,0.42708333333333326,0.15789473684210525,0.24561403508771928,0.2465443912812334,6.247,7.289,1.981,5.76,1.334,7.094,0.396,0.0,0.0,2.855,1.136,hybrid_zips_ytd_recent_matchup
pitcher,19959,19959,666200,Jesús Luzardo,PHI,1,CHW,90.7,44.0,79.0,9,Jesús Luzardo,PHI,9.0,7.0,,3.84191,22.0,22.0,,,,128.0,533.0,115.0,60.0,55.0,16.0,37.0,,4.0,145.0,10.2007,2.60999,3.90835,1.12345,0.2725,0.0697225,0.2027771547436714,0.232496,1.18298,0.297434,0.713119,,,3.44649,2.74508,2.16325,70.58999633789062,,,,,,,618.4000000000001,4.831250000000001,599.0,4.6796875,,,,,,,,,,,,,,,,,,,Jesus Luzardo,19959,Jesús Luzardo,PHI,3.0,3.0,5.090164252744847,7.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,40.2,172.0,43.0,24.0,23.0,4.0,9.0,0.0,2.0,3.0,0.0,51.0,Jesus Luzardo,19959,2026-05-25,49.0,11.0,0.0,4.0,12.0,31.0,4,0.2657543469387755,0.30612244897959184,0.08163265306122448,0.24489795918367346,0.12903225806451613,0.0,12.0,0.15,0.5,37.0,0.3567567567567567,0.16216216216216217,0.28695652173913044,0.2793478260869565,0.3232294685990338,0.30767417391304347,0.2872749505928854,0.2703173241853316,0.08695652173913043,0.06521739130434782,0.07427536231884058,0.21739130434782608,0.19565217391304351,0.2711594202898551,0.5,0.375,0.3192204301075269,0.0,0.0,0.01888888888888889,0.0,0.07499999999999997,0.17589285714285716,0.3142857142857143,0.31449579831932767,0.35585901027077493,0.0,0.0,0.1339285714285714,0.23809523809523808,0.23669467787114845,0.30485527544351076,5.767,6.576,2.799,5.542,1.642,7.184,0.409,0.0,0.0,4.368,1.246,hybrid_zips_ytd_recent_matchup
pitcher,10310,10310,554430,Zack Wheeler,PHI,1,SDP,80.0,68.7,77.2,10,Zack Wheeler,PHI,6.0,4.0,,3.42194,15.0,15.0,,,,91.0,374.0,78.0,38.0,35.0,9.0,26.0,,4.0,96.0,9.48343,2.55902,3.70588,0.927268,0.256111,0.0691093,0.1870017722249031,0.226299,1.14106,0.286678,0.730104,,,3.35257,2.0202,2.03638,110.48999786376952,,,,,,,461.8999999999999,5.075824175824175,440.0,4.835164835164835,,,,,,,,,,,,,,,,,,,Zack Wheeler,10310,Zack Wheeler,PHI,1.0,0.0,2.4545454545454546,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,43.0,6.0,3.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,14.0,Zack Wheeler,10310,2026-05-25,23.0,5.0,4.0,1.0,4.0,18.0,7,0.2844738695652174,0.41739130434782606,0.043478260869565216,0.17391304347826086,0.3888888888888889,0.17391304347826086,13.0,0.5307692307692308,0.15384615384615385,10.0,0.27,0.2,0.1523809523809524,0.1795558608058608,0.21195184344640866,0.22547138095238098,0.29049320028011205,0.26337078579222994,0.047619047619047616,0.033424908424908424,0.04845158464723682,0.2857142857142857,0.2582417582417582,0.2560774008600095,0.35714285714285715,0.4285714285714286,0.321978021978022,0.0,0.0,0.01,0.10263157894736842,0.1554824561403509,0.16550383311219227,0.625,0.4147727272727273,0.3928030303030303,0.2631578947368421,0.2649122807017544,0.23644773698953264,0.5,0.34090909090909094,0.3475378787878788,5.989,6.651,1.991,4.55,1.803,6.353,0.448,0.0,0.0,2.993,1.061,hybrid_zips_ytd_recent_matchup
pitcher,29839,29839,686218,Emmet Sheehan,LAD,1,LAA,77.5,74.0,76.6,11,Emmet Sheehan,LAD,4.0,3.0,,4.22339,19.0,14.0,,,,74.0,308.0,62.0,38.0,35.0,10.0,26.0,,4.0,84.0,10.3011,3.14672,3.27358,1.25424,0.274558,0.0838709,0.1906875669956207,0.223588,1.19193,0.283071,0.684028,,,3.86244,1.29573,0.781428,111.20999908447266,,,,,,,341.40000000000003,4.613513513513514,318.0,4.297297297297297,,,,,,,,,,,,,,,,,,,Emmet Sheehan,29839,Emmet Sheehan,LAD,2.0,1.0,5.225806773143078,6.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,31.0,132.0,32.0,18.0,18.0,6.0,9.0,0.0,1.0,2.0,1.0,36.0,Emmet Sheehan,29839,2026-06-01,22.0,3.0,2.0,0.0,3.0,19.0,7,0.23809090909090908,0.23863636363636365,0.0,0.13636363636363635,0.3684210526315789,0.09090909090909091,15.0,0.08333333333333333,0.06666666666666667,7.0,0.5714285714285714,0.2857142857142857,0.2604166666666667,0.34548611111111116,0.3120908816425121,0.27713608333333334,0.3444361805555555,0.29554036038647347,0.041666666666666664,0.048611111111111105,0.058544685990338165,0.3333333333333333,0.2222222222222222,0.26382850241545897,0.38461538461538464,0.3256410256410256,0.3413919413919414,0.0,0.05555555555555555,0.03864734299516908,0.2285714285714286,0.3142857142857143,0.3275263798701299,0.305,0.3721428571428572,0.33502976190476197,0.35714285714285715,0.17857142857142858,0.190137987012987,0.3,0.2214285714285714,0.33988095238095234,5.355,5.973,2.603,4.322,1.445,5.766,0.316,0.0,0.0,4.375,1.077,hybrid_zips_ytd_recent_matchup
pitcher,33829,33829,684007,Shota Imanaga,CHC,1,ATH,76.9,74.7,76.3,12,Shota Imanaga,CHC,7.0,5.0,,3.81729,20.0,20.0,,,,111.0,453.0,100.0,51.0,47.0,18.0,25.0,,3.0,106.0,8.62993,2.03232,4.24634,1.42758,0.233759,0.0550495,0.1787093244493007,0.235284,1.13212,0.273431,0.737424,,,4.02958,1.69756,1.79788,157.92999267578125,,,,,,,468.0000000000001,4.216216216216218,449.0,4.045045045045045,,,,,,,,,,,,,,,,,,,Shota Imanaga,33829,Shota Imanaga,CHC,3.0,2.0,2.3951613640065768,7.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,41.1,159.0,25.0,12.0,11.0,3.0,10.0,0.0,0.0,3.0,0.0,43.0,Shota Imanaga,33829,2026-05-25,23.0,5.0,3.0,1.0,2.0,18.0,9,0.43841882608695654,0.44565217391304346,0.043478260869565216,0.08695652173913043,0.5,0.13043478260869565,8.0,0.15625,0.125,15.0,0.6,0.06666666666666667,0.5074324324324324,0.3703828828828828,0.31472440847440847,0.40848356756756754,0.3185959504504504,0.30425102948346694,0.0945945945945946,0.0472972972972973,0.060049747549747554,0.13513513513513514,0.19256756756756754,0.23364642114642115,0.48214285714285715,0.37996031746031744,0.37331349206349207,0.0945945945945946,0.06813063063063063,0.04299388674388675,0.6227272727272727,0.5224747474747475,0.39457070707070707,0.4586538461538462,0.2893269230769231,0.2734243311036789,0.09090909090909091,0.15656565656565657,0.07828282828282826,0.15384615384615385,0.2102564102564102,0.25947603121516166,5.763,5.421,2.021,4.553,1.225,5.779,0.394,0.0,0.0,3.156,1.003,hybrid_zips_ytd_recent_matchup
pitcher,33825,33825,808967,Yoshinobu Yamamoto,LAD,1,LAA,77.0,74.0,76.2,13,Yoshinobu Yamamoto,LAD,10.0,6.0,,3.47155,22.0,22.0,,,,134.0,536.0,106.0,56.0,52.0,14.0,34.0,,4.0,141.0,9.52262,2.26788,4.19892,0.976048,0.263472,0.0627475,0.2007239833474159,0.211879,1.04339,0.26588,0.700033,,,3.27093,3.22188,2.86303,26.63999938964844,,,,,,,711.7999999999998,5.311940298507461,656.0,4.895522388059701,,,,,,,,,,,,,,,,,,,Yoshinobu Yamamoto,33825,Yoshinobu Yamamoto,LAD,3.0,2.0,3.0916032334890136,7.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,43.2,170.0,34.0,16.0,15.0,5.0,10.0,0.0,1.0,1.0,0.0,40.0,Yoshinobu Yamamoto,33825,2026-05-25,22.0,4.0,0.0,2.0,10.0,9.0,1,0.23637113636363638,0.27499999999999997,0.09090909090909091,0.45454545454545453,0.1111111111111111,0.0,14.0,0.25357142857142856,0.42857142857142855,8.0,0.3125,0.5,0.22911392405063294,0.2955569620253165,0.3204234085488901,0.26910478481012656,0.26823239240506325,0.3233346219271693,0.06329113924050633,0.03164556962025318,0.06835901669418455,0.24050632911392406,0.28025316455696203,0.2687497706842781,0.46296296296296297,0.4373638344226579,0.49993191721132896,0.02531645569620253,0.07265822784810126,0.0576153458081086,0.15185185185185185,0.11342592592592582,0.3547486772486772,0.2692307692307692,0.44807692307692304,0.3575106837606838,0.2222222222222222,0.2777777777777778,0.2246031746031746,0.25,0.2788461538461539,0.2866452991452991,6.237,7.556,2.219,4.675,1.592,6.267,0.471,0.0,0.0,3.202,1.005,hybrid_zips_ytd_recent_matchup
pitcher,35333,35333,695505,Chase Burns,CIN,1,KCR,79.7,64.5,75.9,14,Chase Burns,CIN,6.0,5.0,,3.89227,21.0,17.0,,,,89.0,369.0,79.0,42.0,38.0,12.0,26.0,,0.0,104.0,10.5842,2.6182,4.04255,1.20078,0.282406,0.0698583,0.2125477418303489,0.231204,1.18645,0.297245,0.716611,,,3.39028,2.18659,1.56894,109.72000122070312,,,,,,,435.6,4.894382022471911,419.0,4.707865168539326,,,,,,,,,,,,,,,,,,,Chase Burns,35333,Chase Burns,CIN,3.0,1.0,2.1951219512195124,7.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,41.0,161.0,29.0,10.0,10.0,5.0,13.0,0.0,0.0,0.0,0.0,46.0,Chase Burns,35333,2026-05-25,22.0,4.0,1.0,2.0,8.0,12.0,5,0.28012718181818186,0.2931818181818182,0.09090909090909091,0.36363636363636365,0.4166666666666667,0.045454545454545456,15.0,0.2866666666666667,0.3333333333333333,7.0,0.3071428571428571,0.42857142857142855,0.20750000000000002,0.22331521739130436,0.254179347826087,0.22469999999999998,0.21806995,0.24897348401942646,0.0,0.043478260869565216,0.06434782608695652,0.45,0.37717391304347825,0.29032608695652173,0.45454545454545453,0.34265734265734266,0.34059950466200467,0.05,0.025,0.028369565217391306,0.08181818181818182,0.20267379679144387,0.3968726126814362,0.3611111111111111,0.18055555555555555,0.14595959595959596,0.45454545454545453,0.37433155080213903,0.2764514896867838,0.4444444444444444,0.38888888888888884,0.2938762626262626,5.487,6.868,1.934,4.398,1.665,6.063,0.388,0.0,0.0,3.171,1.105,hybrid_zips_ytd_recent_matchup
pitcher,31623,31623,694819,Jacob Misiorowski,MIL,1,COL,85.9,44.3,75.5,15,Jacob Misiorowski,MIL,7.0,5.0,,3.75259,21.0,19.0,,,,98.0,410.0,75.0,45.0,41.0,12.0,42.0,,9.0,126.0,11.536,3.82064,3.0194,1.06065,0.307248,0.101758,0.2054902538657188,0.209278,1.19031,0.286752,0.718897,,,3.64139,1.80045,1.61944,114.13999938964844,,,,,,,481.6,4.914285714285715,433.0,4.418367346938775,,,,,,,,,,,,,,,,,,,Jacob Misiorowski,31623,Jacob Misiorowski,MIL,2.0,2.0,2.8421052631578947,7.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,38.0,155.0,23.0,14.0,12.0,4.0,15.0,0.0,5.0,2.0,0.0,59.0,Jacob Misiorowski,31623,2026-05-25,49.0,5.0,0.0,1.0,20.0,27.0,10,0.205526375,0.12755102040816327,0.02040816326530612,0.40816326530612246,0.37037037037037035,0.0,19.0,0.12105263157894736,0.631578947368421,30.0,0.13166666666666668,0.26666666666666666,0.19545454545454544,0.16972727272727278,0.14067171717171717,0.1581933181818182,0.16375665909090914,0.1906876224747475,0.045454545454545456,0.022727272727272714,0.06186868686868688,0.36363636363636365,0.38181818181818183,0.427020202020202,0.23076923076923078,0.18205128205128207,0.29588675213675214,0.0,0.0,0.0,0.09,0.12000000000000005,0.08058823529411765,0.2833333333333333,0.21271929824561406,0.25469298245614036,0.6,0.4666666666666666,0.49068627450980384,0.16666666666666666,0.293859649122807,0.3302631578947368,5.214,7.337,2.017,3.563,1.945,5.508,0.339,0.0,0.0,3.481,1.056,hybrid_zips_ytd_recent_matchup
